algoritmo,fitness,tempo
ts,188,0.0016617774963378906
ts,241,0.0013430118560791016
ts,210,0.0012688636779785156
ts,199,0.0013701915740966797
ts,219,0.0014889240264892578
ts,236,0.0013959407806396484
ts,218,0.0015156269073486328
ts,194,0.0014841556549072266
ts,224,0.0014967918395996094
ts,193,0.0013949871063232422
ts,220,0.0014851093292236328
ts,202,0.0010890960693359375
ts,210,0.0016129016876220703
ts,224,0.0013270378112792969
ts,145,0.0013141632080078125
ts,238,0.0013959407806396484
ts,201,0.0011959075927734375
ts,225,0.001474142074584961
ts,193,0.0011742115020751953
ts,229,0.001336812973022461
ts,198,0.001352071762084961
ts,208,0.0014948844909667969
ts,243,0.0014140605926513672
ts,205,0.0013699531555175781
ts,215,0.001360177993774414
ts,221,0.0012919902801513672
ts,219,0.0014569759368896484
ts,216,0.0014660358428955078
ts,228,0.001383066177368164
ts,210,0.0012869834899902344
ag,267,0.37291693687438965
ag,266,0.37595295906066895
ag,267,0.37374210357666016
ag,267,0.3750619888305664
ag,266,0.3940749168395996
ag,267,0.3771352767944336
ag,267,0.3764939308166504
ag,267,0.3752171993255615
ag,266,0.3779170513153076
ag,266,0.3792579174041748
ag,267,0.3750920295715332
ag,267,0.37949204444885254
ag,266,0.3814218044281006
ag,267,0.37564706802368164
ag,267,0.37563395500183105
ag,267,0.3739738464355469
ag,267,0.3737373352050781
ag,267,0.37726688385009766
ag,266,0.38079118728637695
ag,266,0.38056397438049316
ag,267,0.37264418601989746
ag,267,0.37445664405822754
ag,267,0.37497711181640625
ag,267,0.3724076747894287
ag,266,0.3726069927215576
ag,267,0.3740348815917969
ag,266,0.3821728229522705
ag,267,0.3749361038208008
ag,266,0.37995004653930664
ag,266,0.3773651123046875
